income,derived_consumption,year_2018,year_2019,year_2020,year_2021,year_2022,WfhCor_1,treatment_1,did_effect
340.09,21.71384257,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1171.24,1150.150376,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1449.03,79.51657459,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
829.49,41.70017637,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1581.15,330.1055409,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1147.65,200.8736718,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1338.56,19.23492913,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
835.14,8.55,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
309.47,115.9610754,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
612.61,155.4269175,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1374.96,225.6900819,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
691.98,31.94004923,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1328.69,385.0379156,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1165.55,47.28490185,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
668.42,66.88318491,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1041.335,47.90909091,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1068.11,91.68473547,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1170.32,170.6081081,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
616.5781538,46.55888983,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
464.19,41.20274366,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2096.84,130.746722,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
557.18,122.072189,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
775.4,76.35292016,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
720.0881538,564.5712127,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936.29,50.17596782,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
913.52,319.4919278,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1244.2,120.8452823,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
366.19,8.865651284,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
783.57,7.096692434,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
